# ACTS Test Suite Generation: Tue Dec 15 09:46:01 JST 2020
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 13
# Maximum number of values per parameter: 101
# Number of configurations: 11442
p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
2,0,1,1,1,0,1,1,1,1,1,2,1
3,0,2,2,2,1,2,2,0,2,2,3,2
4,0,3,3,3,2,3,3,1,3,3,4,3
5,0,4,4,4,3,4,4,0,4,4,5,4
6,0,5,5,5,4,5,0,1,5,5,6,5
7,0,6,6,6,5,0,1,0,6,6,7,6
8,0,7,7,0,6,1,2,1,7,7,8,7
9,0,8,8,1,7,2,3,0,8,8,9,8
1,0,9,9,2,8,3,4,1,9,9,10,9
2,0,10,10,3,9,4,0,0,10,10,11,10
3,0,11,11,4,10,5,1,1,11,11,12,11
4,0,12,12,5,11,0,2,0,12,12,13,12
5,0,13,13,6,12,1,3,1,13,13,14,13
6,0,14,14,0,13,2,4,0,14,14,15,14
7,0,15,15,1,14,3,0,1,15,15,16,15
8,0,16,0,2,15,4,1,0,16,16,17,16
9,0,17,1,3,16,5,2,0,17,17,18,17
1,0,18,2,4,17,0,3,1,18,18,19,18
2,0,19,3,5,18,2,4,0,19,19,20,19
3,0,20,4,6,19,3,0,1,20,20,21,20
4,0,21,5,0,20,4,1,0,21,21,22,21
5,0,22,6,1,21,5,2,1,22,22,23,22
6,0,23,7,2,22,0,3,0,23,23,24,23
7,0,24,8,3,23,1,4,1,24,24,25,24
8,0,25,9,4,24,2,0,0,25,25,26,25
9,0,26,10,5,25,3,1,1,26,26,27,26
1,0,27,11,6,26,4,2,0,27,27,28,27
2,0,28,12,0,27,5,3,1,28,28,29,28
3,0,29,13,1,28,0,4,0,29,29,30,29
4,0,30,14,2,29,1,0,1,30,30,31,30
5,0,31,15,3,30,2,1,0,31,31,32,31
6,0,32,0,4,31,3,2,1,32,32,33,32
7,0,33,1,5,32,4,3,1,33,33,34,33
8,0,34,2,6,33,5,4,0,34,34,35,34
9,0,35,3,0,34,0,0,1,35,35,36,35
1,0,36,4,1,35,1,1,0,36,36,37,36
2,0,37,5,2,36,3,2,0,37,37,38,37
3,0,38,6,3,37,4,3,1,38,38,39,38
4,0,39,7,4,38,5,4,0,39,39,40,39
5,0,40,8,5,39,0,0,1,40,40,41,40
6,0,41,9,6,40,1,1,0,41,41,42,41
7,0,42,10,0,41,2,2,1,42,42,43,42
8,0,43,11,1,42,3,3,0,43,43,44,43
9,0,44,12,2,43,4,4,1,44,0,45,44
1,0,45,13,3,44,5,0,0,45,1,46,45
2,0,46,14,4,45,0,1,1,46,2,47,46
3,0,47,15,5,46,1,2,0,47,3,48,47
4,0,48,0,6,47,2,3,1,48,4,49,48
5,0,49,1,0,48,3,4,0,49,5,50,49
6,0,50,2,1,49,4,0,1,50,6,51,50
7,0,51,3,2,50,5,1,0,51,7,52,51
8,0,52,4,3,51,0,2,1,52,8,53,52
9,0,53,5,4,52,1,3,0,53,9,54,53
1,0,54,6,5,53,2,4,1,54,10,55,54
2,0,55,7,6,54,3,0,0,55,11,56,55
3,0,56,8,0,55,4,1,1,56,12,57,56
4,0,57,9,1,56,5,2,0,57,13,58,57
5,0,58,10,2,57,0,3,1,58,14,59,58
6,0,59,11,3,58,1,4,0,59,15,60,59
7,0,60,12,4,59,2,0,1,60,16,61,60
8,0,61,13,5,60,3,1,1,61,17,62,61
9,0,62,14,6,61,4,2,0,62,18,63,62
1,0,63,15,0,62,5,3,1,63,19,64,63
2,0,64,0,1,63,0,4,0,64,20,65,64
3,0,65,1,2,64,2,0,1,65,21,66,65
4,0,66,2,3,65,1,1,0,66,22,67,66
5,0,67,3,4,66,4,2,1,67,23,68,67
6,0,68,4,5,67,5,3,0,68,24,69,68
7,0,69,5,6,68,0,4,1,69,25,70,69
8,0,70,6,0,69,1,0,0,70,26,71,70
9,0,71,7,1,70,2,1,1,71,27,72,71
1,0,72,8,2,71,3,2,0,72,28,73,72
2,0,73,9,3,72,4,3,1,73,29,74,73
3,0,74,10,4,73,5,4,0,74,30,75,74
4,0,0,11,5,74,0,0,1,75,31,76,75
5,0,1,12,6,75,1,1,0,76,32,77,76
