# ACTS Test Suite Generation: Thu Jul 22 15:09:57 JST 2021
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 16
# Maximum number of values per parameter: 200
# Number of configurations: 20015
a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p
2,1,1,1,1,0,1,1,1,2,1,0,2,1,1,1
3,2,2,2,0,0,0,0,2,3,2,1,3,0,0,2
4,3,0,3,1,0,0,1,0,4,3,2,4,0,1,3
5,4,1,0,0,0,1,0,2,5,4,3,5,1,0,0
6,5,0,1,0,0,1,0,0,6,5,4,6,1,1,2
7,6,1,2,0,0,0,1,1,7,6,5,7,1,0,3
8,7,2,3,1,0,1,0,1,8,7,6,8,0,1,0
9,8,0,0,1,0,0,1,2,9,8,7,9,0,0,1
1,9,2,1,0,0,1,0,2,10,9,8,10,1,1,3
2,10,0,2,1,0,0,1,0,11,10,9,11,0,0,0
3,11,1,3,0,0,1,0,0,12,11,10,12,1,1,1
4,0,2,0,1,0,1,1,1,13,0,11,13,1,0,2
5,1,0,3,1,0,0,1,0,14,2,12,14,0,1,3
6,2,1,0,1,0,1,1,1,15,3,13,15,0,0,0
7,3,2,1,1,0,0,0,0,16,4,14,16,0,1,1
8,4,0,2,1,0,0,1,1,17,5,15,17,0,0,1
9,5,1,3,1,0,1,0,2,18,6,16,18,0,1,2
1,6,0,0,1,0,0,1,0,19,7,17,19,0,0,2
2,7,2,1,0,0,1,0,2,20,8,18,20,1,0,3
3,8,1,2,1,0,1,1,1,21,9,19,21,1,1,0
4,9,1,3,0,0,0,0,2,22,10,20,22,1,0,1
5,10,2,1,0,0,0,0,1,23,11,21,23,1,1,2
6,11,0,2,0,0,0,1,2,24,0,22,24,0,0,3
7,0,0,3,0,0,0,0,2,25,1,23,25,0,1,0
8,1,2,0,0,0,1,0,2,26,3,24,26,1,0,2
9,2,0,1,0,0,1,1,0,27,4,25,27,1,1,3
1,3,1,2,0,0,1,0,1,28,5,26,28,1,0,0
2,4,2,0,1,0,0,1,0,29,6,27,29,0,1,2
3,5,1,1,0,0,0,1,1,30,7,28,30,1,0,3
4,6,2,2,1,0,1,0,0,31,8,29,31,0,1,0
5,7,0,0,0,0,0,1,0,1,9,30,32,0,0,1
6,8,2,3,0,0,1,0,0,2,10,31,33,0,1,2
7,9,0,0,1,0,1,1,1,3,11,32,34,0,0,3
8,10,1,1,0,0,1,0,2,4,0,33,35,1,1,1
9,11,2,2,1,0,0,1,1,5,1,34,36,0,0,2
1,0,1,3,1,0,0,1,1,6,2,35,37,1,0,1
3,1,0,0,1,0,1,0,2,7,4,36,38,0,1,0
4,2,1,1,0,0,0,1,2,8,5,37,39,1,0,1
5,3,2,2,0,0,1,0,0,9,6,38,41,1,1,0
6,4,0,3,1,0,0,1,1,10,7,39,43,0,0,1
