# ACTS Test Suite Generation: Thu Jul 22 14:51:25 JST 2021
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 13
# Maximum number of values per parameter: 94
# Number of configurations: 5551
age,workclass,fnlwgt,education,martial_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country
2,1,0,1,1,1,1,1,1,1,1,1,1
3,2,1,2,2,2,2,2,0,2,2,1,2
4,3,2,3,3,3,3,3,1,3,3,1,3
5,4,3,4,4,4,4,4,0,4,4,1,4
6,5,4,5,5,5,5,0,1,5,6,1,5
7,6,5,6,6,6,0,1,0,6,8,1,6
8,7,6,7,0,7,1,2,1,7,9,1,7
9,100,7,8,1,8,2,3,0,8,10,1,8
1,0,8,9,2,9,3,4,1,9,11,1,9
2,2,9,10,3,10,4,0,0,10,12,1,10
3,3,10,11,4,11,5,1,1,11,13,1,11
4,4,11,12,5,12,0,2,0,13,14,1,12
5,5,12,13,6,13,1,3,1,14,15,1,13
6,6,13,14,0,100,2,4,0,15,16,1,14
7,7,14,15,1,0,3,0,0,18,17,1,15
8,100,15,0,2,1,4,1,1,20,18,1,16
9,0,16,1,3,2,5,2,0,22,19,1,17
1,1,17,2,4,3,0,0,0,25,20,1,18
2,5,18,3,0,4,0,3,1,27,21,1,19
3,6,19,4,1,5,1,4,1,34,22,1,20
4,7,20,5,2,6,2,0,1,41,23,1,21
5,100,21,6,5,7,3,1,0,99,24,1,22
6,0,22,7,6,8,4,2,1,0,25,1,23
7,2,23,8,0,9,5,3,1,1,26,1,24
8,3,24,9,5,10,0,4,0,2,27,1,25
9,4,25,10,6,11,1,0,0,3,28,1,26
1,5,26,11,3,12,2,1,1,4,30,1,27
2,6,27,12,4,13,3,2,0,5,36,1,28
3,1,28,13,5,100,4,3,1,6,37,1,29
4,2,29,14,6,0,5,4,1,7,39,1,30
5,3,30,15,0,1,0,0,1,8,43,1,31
6,4,31,0,1,2,0,3,0,9,0,1,32
7,100,32,2,3,4,1,4,1,10,1,1,33
8,0,33,3,4,5,2,3,0,11,2,1,34
9,1,34,4,0,6,3,1,1,13,3,1,35
1,2,35,5,1,7,4,2,0,14,4,1,36
2,7,36,6,2,8,5,4,1,15,6,1,37
3,100,37,7,3,9,0,0,0,18,8,1,38
4,0,38,8,4,10,1,1,0,20,9,1,39
5,1,39,9,2,11,2,2,1,22,10,1,40
6,3,40,10,1,12,5,3,1,25,11,1,100
7,4,42,11,2,13,2,4,0,27,12,1,0
8,5,43,12,6,100,3,0,0,34,13,1,1
9,6,44,13,3,0,4,1,0,41,14,1,2
