# ACTS Test Suite Generation: Thu Jul 22 15:11:15 JST 2021
#  '*' represents don't care value 
# Degree of interaction coverage: 1
# Number of parameters: 20
# Maximum number of values per parameter: 128
# Number of configurations: 128
checking_status,duration,credit_history,purpose,credit_amount,saving_status,emplyoment,installment_commintment,sex,other_parties,residence,property_magnitude,age,other_emplyoment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker
2,5,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
3,6,2,2,3,3,3,3,0,3,3,3,3,3,3,3,3,1,1,1
4,7,3,3,4,4,4,4,1,1,4,4,4,1,1,4,4,2,1,2
1,8,4,4,5,5,5,1,0,3,1,1,5,3,3,1,1,2,2,1
2,9,0,5,6,1,1,2,0,1,3,4,6,3,3,4,4,1,1,1
1,10,2,6,7,1,4,3,0,3,1,4,7,3,3,3,1,1,2,2
4,11,0,8,8,1,1,3,1,1,4,3,1,2,1,3,4,2,2,2
4,12,2,9,9,4,3,2,0,2,3,3,4,3,2,3,1,1,2,1
3,13,1,10,10,1,3,4,0,2,4,4,4,1,1,3,4,1,1,1
3,14,0,0,11,4,5,2,0,3,4,4,4,1,3,3,3,2,2,1
4,15,3,8,12,1,1,4,0,1,4,2,3,1,1,4,2,2,2,2
2,16,2,4,13,3,1,1,1,3,4,2,5,3,2,3,3,1,1,1
2,18,3,3,14,2,2,1,1,3,4,2,5,1,2,4,2,1,1,1
1,20,4,5,15,1,1,1,1,3,2,4,3,1,2,1,4,1,2,2
4,21,1,1,16,4,2,4,0,1,3,3,3,2,2,4,1,1,1,2
2,22,3,4,17,1,3,3,1,3,3,1,3,2,1,2,2,2,2,2
4,24,4,2,18,1,1,2,1,2,1,3,5,1,2,1,3,1,1,1
2,26,3,5,19,4,4,1,0,1,3,2,1,1,2,3,4,2,1,1
3,27,3,6,20,5,4,2,1,2,1,4,2,1,1,3,3,2,1,2
1,28,4,4,21,1,2,2,1,1,1,4,4,1,2,3,1,2,1,1
2,30,3,0,22,5,2,4,1,2,3,1,3,2,2,4,2,1,2,1
2,33,3,6,23,4,4,2,1,3,1,2,7,1,1,2,1,1,2,2
3,36,4,6,24,2,1,3,1,1,1,1,6,1,1,1,4,2,1,2
3,39,3,10,25,2,2,2,1,1,4,3,6,1,1,1,2,1,2,2
1,40,3,8,26,3,5,4,0,1,1,4,3,2,1,3,3,2,1,1
3,42,1,6,27,1,4,4,0,1,2,1,5,2,1,4,3,1,1,1
1,45,1,8,28,1,1,1,0,3,1,3,2,3,1,4,1,1,1,1
2,47,1,0,29,3,2,4,0,2,1,2,1,3,1,1,1,1,1,1
3,48,0,6,30,4,1,4,1,3,3,1,4,2,2,2,3,2,1,1
4,54,2,4,31,3,4,4,0,3,3,3,2,3,1,2,3,2,2,2
3,60,1,8,32,5,2,1,0,1,4,3,7,1,3,1,1,1,1,1
1,72,2,1,33,2,1,4,1,1,2,2,1,3,2,3,2,1,2,2
4,4,0,0,34,5,1,3,0,1,3,2,7,3,3,1,1,2,1,1
2,45,3,3,35,5,3,1,0,2,3,4,4,1,2,4,2,1,1,1
2,11,1,1,36,5,1,3,0,1,4,3,7,2,2,4,4,1,2,1
4,10,0,4,37,4,4,2,1,3,3,4,2,1,1,2,2,2,1,2
2,6,1,0,38,5,4,4,0,1,1,1,6,1,3,2,1,1,2,1
1,36,3,1,39,5,4,1,0,3,3,4,5,2,3,1,1,2,2,1
2,14,1,6,40,2,2,1,1,2,1,1,3,2,3,1,3,2,1,2
3,42,2,9,41,5,4,1,1,3,1,2,3,3,1,4,4,1,2,2
1,40,4,0,42,5,4,3,1,1,1,3,2,1,3,3,2,1,1,1
2,60,4,1,43,2,1,1,0,2,1,2,3,2,3,4,3,2,2,1
3,60,3,9,44,3,1,4,0,3,3,2,5,1,3,1,3,1,2,1
2,24,1,5,45,5,2,4,1,2,1,2,3,1,3,3,3,2,2,1
2,48,3,6,46,5,5,2,0,1,3,3,3,1,1,3,3,2,1,2
2,8,3,6,47,4,2,4,0,2,3,4,4,1,2,3,1,2,1,2
1,36,3,6,48,1,2,4,1,2,3,4,7,2,2,4,4,1,1,2
4,21,4,8,49,5,3,4,1,3,4,1,7,2,1,3,4,1,2,1
4,7,4,8,50,4,3,2,0,3,4,1,3,2,2,2,2,2,2,1
4,4,0,8,51,2,5,1,1,1,3,3,3,1,1,1,3,2,1,2
4,47,4,1,52,1,5,2,1,3,3,3,7,3,3,3,2,2,2,1
4,20,3,5,53,4,3,1,0,1,2,4,5,2,1,2,2,2,1,1
3,13,0,10,54,5,4,1,0,3,1,1,4,3,2,4,4,2,2,1
4,5,4,2,55,1,1,1,1,3,3,3,2,1,2,2,1,2,1,1
3,60,3,4,57,2,2,2,0,3,1,3,7,2,1,2,2,2,1,1
2,8,0,2,58,2,4,2,0,2,1,4,4,2,2,3,2,2,2,2
3,48,1,8,59,1,5,4,0,3,4,3,7,3,3,1,2,1,1,1
3,18,1,2,60,5,2,3,0,2,1,2,7,3,3,4,3,1,1,2
4,45,1,8,61,5,3,2,0,2,1,1,7,1,3,4,3,1,2,2
1,40,0,0,62,2,2,3,0,1,2,4,6,1,2,2,4,1,2,2
2,20,4,5,63,1,5,1,0,2,4,3,3,1,1,1,1,1,2,1
3,14,3,9,64,5,2,3,0,1,3,3,2,1,2,1,4,2,2,1
2,9,2,3,65,2,2,4,0,1,2,2,5,1,2,1,1,1,2,1
3,15,3,8,66,1,4,3,1,2,2,1,7,1,1,4,4,1,2,1
1,30,2,1,67,3,4,1,0,1,2,3,6,3,1,2,2,2,1,2
1,36,4,0,68,2,3,2,1,3,2,2,4,2,2,2,4,1,2,2
3,16,3,3,69,5,2,3,0,2,4,4,3,1,1,4,3,1,1,2
3,27,1,6,70,2,5,1,0,2,4,4,6,2,1,2,3,2,1,1
4,15,0,8,71,1,3,4,0,1,4,1,4,3,2,1,4,1,2,2
3,39,2,1,72,4,2,1,0,2,2,2,4,1,3,3,1,2,1,1
3,10,0,8,73,5,4,2,1,1,2,4,3,2,3,2,2,1,2,1
3,54,2,3,74,5,5,3,0,1,2,2,6,2,3,4,4,2,2,1
1,72,4,4,75,5,2,3,0,2,3,4,7,3,3,4,2,1,2,2
1,12,4,6,76,3,4,2,0,1,2,4,2,1,2,1,4,1,2,1
3,24,1,9,77,3,2,4,1,2,2,2,7,1,1,1,2,1,1,1
2,60,4,10,78,5,4,1,1,2,4,2,6,2,1,1,3,1,1,2
3,36,1,3,79,1,5,4,0,2,4,2,1,3,2,1,1,2,1,2
4,4,1,8,80,5,2,3,0,1,1,3,2,1,3,1,1,2,1,2
2,22,4,0,81,4,2,2,1,1,2,2,5,2,2,1,4,2,2,1
2,8,2,2,82,5,5,4,0,2,3,4,7,3,2,4,1,2,2,2
2,4,0,5,83,4,3,1,1,3,1,3,4,3,1,1,4,2,1,1
4,4,0,4,84,4,3,1,1,3,3,2,5,3,3,3,4,2,1,2
3,14,0,5,85,4,5,1,0,3,2,1,2,3,3,4,3,1,2,2
4,39,4,8,86,1,1,3,0,2,3,2,5,2,2,1,2,2,2,2
1,8,1,8,88,3,2,2,0,2,2,3,3,2,3,4,1,2,2,1
4,54,3,1,89,4,5,4,1,3,3,3,5,2,1,4,2,1,2,2
